,name,region,country,lat,lon,tz_id,localtime_epoch,localtime,sunrise,sunset,moonrise,moonset,moon_phase,moon_illumination,is_moon_up,is_sun_up
119,Vilnius,Vilniaus Apskritis,Lithuania,54.68,25.32,Europe/Vilnius,1675951011,09/02/2023 15:56,7:54 am,5:13 pm,9:24 pm,9:21 am,Waning Gibbous,91,1,0
120,Luxembourg,Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,1675951012,09/02/2023 14:56,7:56 am,5:44 pm,9:45 pm,9:36 am,Waning Gibbous,91,1,0
121,Macao,Anhui,China,31.31,117.1,Asia/Shanghai,1675951012,09/02/2023 21:56,6:59 am,5:53 pm,9:03 pm,8:57 am,Waning Gibbous,91,1,1
122,Macedonia,Iowa,USA United States of America,41.19,-95.43,America/Chicago,1675951013,09/02/2023 7:56,7:24 am,5:48 pm,9:48 pm,9:24 am,Waning Gibbous,91,0,0
123,Antananarivo,Antananarivo,Madagascar,-18.92,47.52,Indian/Antananarivo,1675951013,09/02/2023 16:56,5:40 am,6:28 pm,8:54 pm,8:27 am,Waning Gibbous,91,1,0
124,Lilongwe,Lilongwe,Malawi,-13.98,33.78,Africa/Blantyre,1675951014,09/02/2023 15:56,5:41 am,6:17 pm,8:50 pm,8:25 am,Waning Gibbous,91,1,0
125,Kuala Lumpur,Kuala Lumpur,Malaysia,3.17,101.7,Asia/Kuala_Lumpur,1675951014,09/02/2023 21:56,7:28 am,7:28 pm,10:10 pm,9:50 am,Waning Gibbous,91,1,1
126,Male,Maale,Maldives,4.17,73.5,Indian/Maldives,1675951015,09/02/2023 18:56,6:21 am,6:19 pm,9:06 pm,8:46 am,Waning Gibbous,91,1,0
127,Bamako,Bamako,Mali,12.65,-8,Africa/Bamako,1675951015,09/02/2023 13:56,6:56 am,6:36 pm,9:42 pm,9:23 am,Waning Gibbous,91,1,0
128,Valletta,,Malta,35.9,14.51,Europe/Malta,1675951016,09/02/2023 14:56,6:56 am,5:37 pm,9:09 pm,8:57 am,Waning Gibbous,91,1,0
129,Majuro,,Marshall Islands,7.1,171.38,Pacific/Majuro,1675951016,10/02/2023 1:56,6:53 am,6:44 pm,9:23 pm,9:06 am,Waning Gibbous,91,0,1
130,Fort-De-France,,Martinique,14.6,-61.08,America/Martinique,1675951017,09/02/2023 9:56,6:30 am,6:07 pm,9:22 pm,9:01 am,Waning Gibbous,91,0,0
131,Nouakchott,Trarza,Mauritania,18.09,-15.98,Africa/Nouakchott,1675951017,09/02/2023 13:56,7:34 am,7:02 pm,10:15 pm,9:57 am,Waning Gibbous,91,1,0
132,Port Louis,Port Louis,Mauritius,-20.16,57.5,Indian/Mauritius,1675951018,09/02/2023 17:56,5:58 am,6:50 pm,9:14 pm,8:45 am,Waning Gibbous,91,1,0
133,Mamoudzou,,Mayotte,-12.78,45.23,Indian/Mayotte,1675951018,09/02/2023 16:56,5:56 am,6:30 pm,9:04 pm,8:38 am,Waning Gibbous,91,1,0
134,Mexico City,The Federal District,Mexico,19.43,-99.13,America/Mexico_City,1675951019,09/02/2023 7:56,7:08 am,6:33 pm,9:59 pm,9:37 am,Waning Gibbous,91,0,1
135,Aderew,Federated States of Micronesia,United States of America,6.94,158.28,Pacific/Pohnpei,1675951019,10/02/2023 0:56,6:45 am,6:37 pm,9:17 pm,8:59 am,Waning Gibbous,91,0,1
136,Grinautsy-Moldova,Gagauzia,Moldova,48.28,27.45,Europe/Chisinau,1675951020,09/02/2023 15:57,7:28 am,5:22 pm,9:15 pm,9:09 am,Waning Gibbous,91,1,0
137,Monaco-Ville,,Monaco,43.73,7.42,Europe/Monaco,1675951021,09/02/2023 14:57,7:38 am,5:52 pm,9:39 pm,9:28 am,Waning Gibbous,91,1,0
138,Ulan Bator,Ulaanbaatar,Mongolia,47.92,106.92,Asia/Ulaanbaatar,1675951021,09/02/2023 21:57,8:09 am,6:04 pm,9:42 pm,9:48 am,Waning Gibbous,91,1,0
139,Montenegro,Rio Grande do Sul,Brazil,-29.7,-51.47,America/Sao_Paulo,1675951022,09/02/2023 10:57,6:02 am,7:18 pm,9:39 pm,9:15 am,Waning Gibbous,91,0,0
140,Plymouth,Saint Anthony,Montserrat,16.7,-62.22,America/Montserrat,1675951022,09/02/2023 9:57,6:37 am,6:09 pm,9:27 pm,9:06 am,Waning Gibbous,91,0,0
141,Rabat,,Morocco,34.03,-6.84,Africa/Casablanca,1675951023,09/02/2023 14:57,8:18 am,7:05 pm,10:38 pm,10:23 am,Waning Gibbous,91,1,0
142,Maputo,Maputo,Mozambique,-25.97,32.59,Africa/Maputo,1675951023,09/02/2023 15:57,5:31 am,6:37 pm,8:56 pm,8:27 am,Waning Gibbous,91,1,0
143,Mandalay,Mandalay,Myanmar,22,96.08,Asia/Yangon,1675951024,09/02/2023 20:27,6:40 am,5:59 pm,9:02 pm,8:49 am,Waning Gibbous,91,1,0
144,Windhoek,Windhoek,Namibia,-22.57,17.08,Africa/Windhoek,1675951025,09/02/2023 15:57,6:37 am,7:35 pm,9:59 pm,9:32 am,Waning Gibbous,91,1,0
145,Aneber,,Nauru Island,-0.52,166.95,Pacific/Nauru,1675951025,10/02/2023 1:57,7:02 am,7:11 pm,9:43 pm,9:21 am,Waning Gibbous,91,0,1
146,Kathmandu,,Nepal,27.72,85.32,Asia/Kathmandu,1675951026,09/02/2023 19:42,6:46 am,5:50 pm,9:00 pm,8:50 am,Waning Gibbous,91,1,0
147,Amsterdam,North Holland,Netherlands,52.37,4.89,Europe/Amsterdam,1675951026,09/02/2023 14:57,8:08 am,5:42 pm,9:50 pm,9:42 am,Waning Gibbous,91,1,0
148,Noumea,,New Caledonia,-22.27,166.45,Pacific/Noumea,1675951027,10/02/2023 0:57,5:40 am,6:37 pm,8:49 pm,8:14 am,Waning Gibbous,91,0,1
149,Wellington,,New Zealand,-41.3,174.78,Pacific/Auckland,1675951027,10/02/2023 2:57,6:36 am,8:33 pm,10:20 pm,9:28 am,Waning Gibbous,91,0,1
150,Managua,Managua,Nicaragua,12.15,-86.27,America/Managua,1675951028,09/02/2023 7:57,6:09 am,5:50 pm,9:05 pm,8:43 am,Waning Gibbous,91,0,0
151,Niamey,Niamey,Niger,13.67,1.78,Africa/Niamey,1675951028,09/02/2023 14:57,7:18 am,6:56 pm,10:02 pm,9:43 am,Waning Gibbous,91,1,0
152,Abuja,Federal Capital Territory,Nigeria,9.18,7.18,Africa/Lagos,1675951029,09/02/2023 14:57,6:52 am,6:39 pm,9:40 pm,9:20 am,Waning Gibbous,91,1,0
153,Alofi,,Niue,-19.02,-169.92,Pacific/Niue,1675951029,09/02/2023 2:57,6:09 am,6:58 pm,9:44 pm,9:27 am,Waning Gibbous,91,0,1
154,Kingston,,Norfolk Island,-29.05,167.95,Pacific/Norfolk,1675951030,10/02/2023 1:57,6:24 am,7:40 pm,9:44 pm,9:04 am,Waning Gibbous,91,0,1
155,Kuala Lumpur,Kuala Lumpur,Malaysia,3.17,101.7,Asia/Kuala_Lumpur,1675951031,09/02/2023 21:57,7:28 am,7:28 pm,10:10 pm,9:50 am,Waning Gibbous,91,1,1
156,Oslo,Oslo,Norway,59.92,10.75,Europe/Oslo,1675951031,09/02/2023 14:57,8:11 am,4:52 pm,9:25 pm,9:23 am,Waning Gibbous,91,1,0
157,Muscat,Masqat,Oman,23.61,58.59,Asia/Muscat,1675951032,09/02/2023 17:57,6:42 am,5:57 pm,9:07 pm,8:53 am,Waning Gibbous,91,1,0
158,Islamabad,Islamabad,Pakistan,33.7,73.17,Asia/Karachi,1675951033,09/02/2023 18:57,6:58 am,5:46 pm,9:05 pm,8:57 am,Waning Gibbous,91,1,0
159,Palau,Coahuila,Mexico,27.89,-101.42,America/Monterrey,1675951033,09/02/2023 7:57,7:28 am,6:32 pm,10:10 pm,9:47 am,Waning Gibbous,91,0,1
160,Abuja,Federal Capital Territory,Nigeria,9.18,7.18,Africa/Lagos,1675951034,09/02/2023 14:57,6:52 am,6:39 pm,9:40 pm,9:20 am,Waning Gibbous,91,1,0
161,Panama City,Panama,Panama,8.97,-79.53,America/Panama,1675951034,09/02/2023 8:57,6:38 am,6:26 pm,9:37 pm,9:16 am,Waning Gibbous,91,0,0
162,Port Moresby,National Capital,Papua New Guinea,-9.46,147.19,Pacific/Port_Moresby,1675951036,09/02/2023 23:57,6:12 am,6:39 pm,9:05 pm,8:38 am,Waning Gibbous,91,0,1
163,Asuncion,Central,Paraguay,-25.27,-57.67,America/Asuncion,1675951036,09/02/2023 10:57,6:32 am,7:37 pm,10:04 pm,9:41 am,Waning Gibbous,91,0,0
164,Lima,Lima,Peru,-12.05,-77.05,America/Lima,1675951037,09/02/2023 8:57,6:06 am,6:38 pm,9:25 pm,9:03 am,Waning Gibbous,91,0,0
165,Manila,Manila,Philippines,14.6,120.98,Asia/Manila,1675951037,09/02/2023 21:57,6:22 am,5:58 pm,8:49 pm,8:35 am,Waning Gibbous,91,1,1
166,Adamstown,,Pitcairn Island,-25.07,-130.08,Pacific/Pitcairn,1675951038,09/02/2023 5:57,6:22 am,7:26 pm,10:00 pm,9:42 am,Waning Gibbous,91,0,1
167,Warsaw,,Poland,52.25,21,Europe/Warsaw,1675951039,09/02/2023 14:57,7:04 am,4:37 pm,8:42 pm,8:37 am,Waning Gibbous,91,1,0
168,Lisbon,Lisboa,Portugal,38.72,-9.13,Europe/Lisbon,1675951040,09/02/2023 13:57,7:35 am,6:07 pm,9:48 pm,9:34 am,Waning Gibbous,91,1,0
169,Puerto Rico,Misiones,Argentina,-26.8,-55.03,America/Argentina/Cordoba,1675951040,09/02/2023 10:57,6:20 am,7:29 pm,9:53 pm,9:30 am,Waning Gibbous,91,0,0
170,Doha,Ad Dawhah,Qatar,25.29,51.53,Asia/Qatar,1675951041,09/02/2023 16:57,6:13 am,5:24 pm,8:36 pm,8:22 am,Waning Gibbous,91,1,0
171,Réunions,Chihuahua,Mexique,26.88,-106.95,America/Chihuahua,1675951041,09/02/2023 7:57,7:49 am,6:56 pm,10:33 pm,10:09 am,Waning Gibbous,91,0,1
172,Bucharest,Bucuresti,Romania,44.43,26.1,Europe/Bucharest,1675951042,09/02/2023 15:57,7:25 am,5:36 pm,9:21 pm,9:13 am,Waning Gibbous,91,1,0
173,Russian,Sucre,Venezuela,10.5,-63.17,America/Caracas,1675951042,09/02/2023 9:57,6:34 am,6:19 pm,9:30 pm,9:09 am,Waning Gibbous,91,0,0
174,Kigali,Kigali,Rwanda,-1.95,30.06,Africa/Kigali,1675951043,09/02/2023 15:57,6:08 am,6:19 pm,9:05 pm,8:43 am,Waning Gibbous,91,1,0
175,Saint George's,Saint George,Grenada,12.05,-61.75,America/Grenada,1675951043,09/02/2023 9:57,6:30 am,6:12 pm,9:24 pm,9:03 am,Waning Gibbous,91,0,0
176,Tristan Settlement,,Saint Helena,-37.05,-12.3,Atlantic/St_Helena,1675951044,09/02/2023 13:57,6:13 am,7:53 pm,9:59 pm,9:30 am,Waning Gibbous,91,1,0
177,Basseterre,Saint George Basseterre,Saint Kitts and Nevis,17.3,-62.72,America/St_Kitts,1675951044,09/02/2023 9:57,6:40 am,6:10 pm,9:29 pm,9:08 am,Waning Gibbous,91,0,0
178,Castries,Castries,Saint Lucia,14,-61,America/St_Lucia,1675951045,09/02/2023 9:57,6:29 am,6:07 pm,9:21 pm,9:00 am,Waning Gibbous,91,0,0
179,Saint-Martin-Boulogne,Nord-Pas-de-Calais,France,50.72,1.63,Europe/Paris,1675951045,09/02/2023 14:57,8:17 am,5:59 pm,10:03 pm,9:54 am,Waning Gibbous,91,1,0
180,Saint-Pierre,,Saint Pierre and Miquelon,46.77,-56.18,America/Miquelon,1675951046,09/02/2023 10:57,7:58 am,6:00 pm,10:05 pm,9:47 am,Waning Gibbous,91,1,0
181,Kingstown,Saint George,Saint Vincent and the Grenadines,13.13,-61.22,America/St_Vincent,1675951047,09/02/2023 9:57,6:29 am,6:09 pm,9:22 pm,9:01 am,Waning Gibbous,91,0,0
182,Apia,,Samoa,-13.83,-171.73,Pacific/Apia,1675951047,10/02/2023 2:57,6:22 am,7:00 pm,9:18 pm,8:47 am,Waning Gibbous,91,0,1
183,San Marino,San Marino,San Marino,43.93,12.45,Europe/Rome,1675951048,09/02/2023 14:57,7:18 am,5:31 pm,9:18 pm,9:08 am,Waning Gibbous,91,1,0
184,Sao Tome,Sao Tome,Sao Tome and Principe,0.33,6.73,Africa/Sao_Tome,1675951048,09/02/2023 13:57,5:44 am,5:51 pm,8:41 pm,8:20 am,Waning Gibbous,91,1,0
185,Riyadh,Ar Riyad,Saudi Arabia,24.64,46.77,Asia/Riyadh,1675951049,09/02/2023 16:57,6:31 am,5:44 pm,8:55 pm,8:42 am,Waning Gibbous,91,1,0
186,Dakar,Dakar,Senegal,14.67,-17.44,Africa/Dakar,1675951049,09/02/2023 13:57,7:36 am,7:12 pm,10:21 pm,10:02 am,Waning Gibbous,91,1,0
187,Belgrade,Central Serbia,Serbia,44.8,20.47,Europe/Belgrade,1675951050,09/02/2023 14:57,6:48 am,4:57 pm,8:44 pm,8:35 am,Waning Gibbous,91,1,0
188,Victoria,Beau Vallon,Seychelles Islands,-4.62,55.45,Indian/Mahe,1675951050,09/02/2023 17:57,6:24 am,6:40 pm,9:21 pm,8:58 am,Waning Gibbous,91,1,0
189,Freetown,Western Area,Sierra Leone,8.49,-13.23,Africa/Freetown,1675951051,09/02/2023 13:57,7:13 am,7:02 pm,10:04 pm,9:44 am,Waning Gibbous,91,1,0
190,Singapore,,Singapore,1.29,103.86,Asia/Singapore,1675951051,09/02/2023 21:57,7:17 am,7:21 pm,10:02 pm,9:41 am,Waning Gibbous,91,1,1
191,Bratislava,Bratislava,Slovakia,48.15,17.12,Europe/Bratislava,1675951052,09/02/2023 14:57,7:09 am,5:03 pm,8:58 pm,8:51 am,Waning Gibbous,91,1,0
192,Ljubljana,Bohinj,Slovenia,46.06,14.51,Europe/Ljubljana,1675951052,09/02/2023 14:57,7:15 am,5:19 pm,9:09 pm,9:00 am,Waning Gibbous,91,1,0
193,Honiara,Makira,Solomon Islands,-9.43,159.95,Pacific/Guadalcanal,1675951053,10/02/2023 0:57,6:21 am,6:48 pm,9:13 pm,8:46 am,Waning Gibbous,91,0,1
194,Mogadishu,Banaadir,Somalia,2.07,45.37,Africa/Mogadishu,1675951053,09/02/2023 16:57,6:11 am,6:14 pm,9:02 pm,8:41 am,Waning Gibbous,91,1,0
195,Pretoria,Gauteng,South Africa,-25.75,28.19,Africa/Johannesburg,1675951054,09/02/2023 15:57,5:49 am,6:54 pm,9:14 pm,8:45 am,Waning Gibbous,91,1,0
196,Grytviken,,South Georgia and South Sandwich Islands,-54.28,-36.51,Atlantic/South_Georgia,1675951054,09/02/2023 11:57,5:08 am,8:11 pm,9:36 pm,9:05 am,Waning Gibbous,91,1,0
197,Madrid,Madrid,Spain,40.4,-3.68,Europe/Madrid,1675951055,09/02/2023 14:57,8:16 am,6:42 pm,10:25 pm,10:12 am,Waning Gibbous,91,1,0
198,Colombo,Western,Sri Lanka,6.93,79.85,Asia/Colombo,1675951055,09/02/2023 19:27,6:28 am,6:21 pm,9:10 pm,8:51 am,Waning Gibbous,91,1,0
199,Khartoum,Al Khartum,Sudan,15.59,32.53,Africa/Khartoum,1675951056,09/02/2023 15:57,6:17 am,5:51 pm,8:55 pm,8:37 am,Waning Gibbous,91,1,0
200,Paramaribo,Paramaribo,Suriname,5.83,-55.17,America/Paramaribo,1675951056,09/02/2023 10:57,6:58 am,6:52 pm,9:56 pm,9:36 am,Waning Gibbous,91,0,0
201,Sudan,,South Korea,36.4,126.75,Asia/Seoul,1675951057,09/02/2023 22:57,7:28 am,6:07 pm,9:22 pm,9:21 am,Waning Gibbous,91,1,1
202,Mayen,Sonora,Mexico,29.85,-111.24,America/Hermosillo,1675951058,09/02/2023 6:57,7:10 am,6:09 pm,9:52 pm,9:28 am,Waning Gibbous,91,0,1
203,Mbabane,Hhohho,Swaziland,-26.32,31.13,Africa/Mbabane,1675951059,09/02/2023 15:57,5:36 am,6:43 pm,9:02 pm,8:33 am,Waning Gibbous,91,1,0
204,Stockholm,Stockholms Lan,Sweden,59.33,18.05,Europe/Stockholm,1675951059,09/02/2023 14:57,7:40 am,4:25 pm,8:54 pm,8:53 am,Waning Gibbous,91,1,0
205,Bern,,Switzerland,46.92,7.47,Europe/Zurich,1675951060,09/02/2023 14:57,7:45 am,5:45 pm,9:39 pm,9:29 am,Waning Gibbous,91,1,0
206,Arab,Alabama,USA United States of America,34.32,-86.5,America/Chicago,1675951061,09/02/2023 7:57,6:37 am,5:24 pm,9:10 pm,8:47 am,Waning Gibbous,91,0,0
207,Taiwan,Jiangsu,China,32.33,118.76,Asia/Shanghai,1675951061,09/02/2023 21:57,6:54 am,5:45 pm,8:56 pm,8:51 am,Waning Gibbous,91,1,1
208,Dushanbe,Khatlon,Tajikistan,38.56,68.77,Asia/Dushanbe,1675951062,09/02/2023 18:57,7:23 am,5:56 pm,9:23 pm,9:17 am,Waning Gibbous,91,1,0
209,Republic,Pennsylvania,USA United States of America,39.97,-79.88,America/New_York,1675951063,09/02/2023 8:57,7:20 am,5:48 pm,9:43 pm,9:21 am,Waning Gibbous,91,0,0
210,Bangkok,Krung Thep,Thailand,13.75,100.52,Asia/Bangkok,1675951063,09/02/2023 20:57,6:43 am,6:21 pm,9:14 pm,8:59 am,Waning Gibbous,91,1,1
211,Leste,Nordrhein-Westfalen,Germany,51.75,8.6,Europe/Berlin,1675951064,09/02/2023 14:57,7:52 am,5:29 pm,9:34 pm,9:27 am,Waning Gibbous,91,1,0
212,Lome,Maritime,Togo,6.13,1.22,Africa/Accra,1675951064,09/02/2023 13:57,6:12 am,6:06 pm,9:04 pm,8:44 am,Waning Gibbous,91,1,0
213,Fakaofu Village,,Tokelau Islands,-9.38,-171.25,Pacific/Fakaofo,1675951065,10/02/2023 2:57,6:25 am,6:53 pm,9:15 pm,8:47 am,Waning Gibbous,91,0,1
214,Nuku'alofa,Tongatapu,Tonga,-21.13,-175.2,Pacific/Tongatapu,1675951065,10/02/2023 2:57,6:27 am,7:22 pm,9:34 pm,8:58 am,Waning Gibbous,91,0,1
215,Port Of Spain,Port-of-Spain,Trinidad and Tobago,10.65,-61.52,America/Port_of_Spain,1675951066,09/02/2023 9:57,6:28 am,6:12 pm,9:23 pm,9:02 am,Waning Gibbous,91,0,0
216,Tunis,Gabes,Tunisia,36.8,10.18,Africa/Tunis,1675951066,09/02/2023 14:57,7:15 am,5:53 pm,9:27 pm,9:15 am,Waning Gibbous,91,1,0
217,Ankara,Ankara,Turkey,39.93,32.86,Europe/Istanbul,1675951067,09/02/2023 16:57,7:49 am,6:17 pm,9:53 pm,9:44 am,Waning Gibbous,91,1,0
218,Ashgabat,Ahal,Turkmenistan,37.95,58.38,Asia/Ashgabat,1675951068,09/02/2023 18:57,8:04 am,6:38 pm,10:06 pm,9:59 am,Waning Gibbous,91,1,0
219,Cockburn Town,,Turks and Caicos Islands,21.47,-71.13,America/Grand_Turk,1675951068,09/02/2023 8:57,6:18 am,5:39 pm,9:04 pm,8:43 am,Waning Gibbous,91,0,0
220,Funafuti,,Tuvalu,-8.52,179.22,Pacific/Funafuti,1675951069,10/02/2023 1:57,6:05 am,6:30 pm,8:54 pm,8:27 am,Waning Gibbous,91,0,1
221,Kampala,Kampala,Uganda,0.32,32.57,Africa/Kampala,1675951069,09/02/2023 16:57,7:01 am,7:07 pm,9:55 pm,9:34 am,Waning Gibbous,91,1,0
222,Kiev,Kyyivs'ka Oblast',Ukraine,50.43,30.52,Europe/Kiev,1675951070,09/02/2023 15:57,7:21 am,5:04 pm,9:02 pm,8:58 am,Waning Gibbous,91,1,0
223,Abu Dhabi,Abu Dhabi,United Arab Emirates,24.47,54.37,Asia/Dubai,1675951070,09/02/2023 17:57,7:01 am,6:13 pm,9:24 pm,9:11 am,Waning Gibbous,91,1,0
224,Kingdom City,Missouri,USA United States of America,38.96,-91.96,America/Chicago,1675951071,09/02/2023 7:57,7:06 am,5:39 pm,9:33 pm,9:10 am,Waning Gibbous,91,0,0
225,Three States,Louisiana,United States of America,33.02,-94.04,America/Chicago,1675951071,09/02/2023 7:57,7:05 am,5:56 pm,9:41 pm,9:18 am,Waning Gibbous,91,0,0
226,Minor,Sakha,Russia,60.47,137.88,Asia/Khandyga,1675951072,09/02/2023 22:57,7:47 am,4:20 pm,8:27 pm,8:55 am,Waning Gibbous,91,0,1
227,Montevideo,Montevideo,Uruguay,-34.86,-56.17,America/Montevideo,1675951073,09/02/2023 10:57,6:12 am,7:45 pm,9:57 pm,9:33 am,Waning Gibbous,91,0,0
228,Tashkent,Toshkent,Uzbekistan,41.32,69.25,Asia/Tashkent,1675951073,09/02/2023 18:57,7:26 am,5:49 pm,9:21 pm,9:17 am,Waning Gibbous,91,1,0
229,Port Vila,Efate,Vanuatu,-17.73,168.32,Pacific/Efate,1675951074,10/02/2023 0:57,5:38 am,6:24 pm,8:40 pm,8:08 am,Waning Gibbous,91,0,1
230,Republic,Pennsylvania,USA United States of America,39.97,-79.88,America/New_York,1675951074,09/02/2023 8:57,7:20 am,5:48 pm,9:43 pm,9:21 am,Waning Gibbous,91,0,0
231,Phu Viet,,Vietnam,17.27,107.77,Asia/Ho_Chi_Minh,1675951075,09/02/2023 20:57,6:18 am,5:48 pm,8:44 pm,8:30 am,Waning Gibbous,91,1,1
232,Leonards,,Virgin Islands,18.42,-64.63,America/Tortola,1675951076,09/02/2023 9:57,6:49 am,6:16 pm,9:37 pm,9:16 am,Waning Gibbous,91,0,0
233,Leonards,,Virgin Islands,18.42,-64.63,America/Tortola,1675951076,09/02/2023 9:57,6:49 am,6:16 pm,9:37 pm,9:16 am,Waning Gibbous,91,0,0
234,Mata'utu,,Wallis and Futuna Islands,-13.28,-176.13,Pacific/Wallis,1675951077,10/02/2023 1:57,5:41 am,6:16 pm,8:35 pm,8:06 am,Waning Gibbous,91,0,1
235,Sanaa,San,Yemen,15.35,44.21,Asia/Aden,1675951077,09/02/2023 16:57,6:30 am,6:04 pm,9:07 pm,8:50 am,Waning Gibbous,91,1,0
236,Lusaka,Lusaka,Zambia,-15.42,28.28,Africa/Lusaka,1675951078,09/02/2023 15:57,6:01 am,6:41 pm,9:13 pm,8:47 am,Waning Gibbous,91,1,0
237,Harare,Mashonaland East,Zimbabwe,-17.82,31.04,Africa/Harare,1675951078,09/02/2023 15:57,5:47 am,6:33 pm,9:02 pm,8:35 am,Waning Gibbous,91,1,0
